category,product_category,source_type,review_confidence,trend_confidence,review_count,evidence_alignment,grounded_ctr,is_grounded,failure_type,regenerate_node,revision_count,baseline_grounded_ctr,delta_grounded_ctr,baseline_evidence_alignment,delta_evidence_alignment,baseline_revision_count,delta_revision_count,diff_status,diff_warning,result
balsamic_vinegar,food/condiment,local_dataset+mock,0.75,0.35,6,1.0,0.061418900000000005,True,,,0,0.06352672000000001,-0.0021078200000000033,0.8,0.19999999999999996,0,0,OK,,PASS
printer,Electronics & Office Equipment,local_dataset+mock,0.75,0.35,6,1.0,0.0629774875,True,,,0,0.06487744,-0.0018999524999999962,1.0,0.0,0,0,OK,,PASS
women_bras,women_bras,local_dataset+mock,0.75,0.35,6,1.0,0.056936600000000004,True,,,0,0.06571360000000001,-0.008777000000000007,1.0,0.0,0,0,OK,,PASS
girls_overalls,Apparel > Children's Clothing > Girls' Overalls,local_dataset+mock,0.75,0.35,6,1.0,0.06374631250000001,True,,,0,0.06291568,0.0008306325000000114,0.8,0.19999999999999996,0,0,OK,,PASS
protein_powder,protein_powder,local_dataset+mock,0.75,0.35,6,1.0,0.05517785000000001,True,,,0,0.05850440000000001,-0.0033265500000000045,1.0,0.0,0,0,OK,,PASS
phone_case,phone_case,local_dataset+mock,0.75,0.35,6,1.0,0.07300320000000002,True,,,0,0.07158816000000001,0.0014150400000000063,1.0,0.0,0,0,OK,,PASS
desk_lamp,desk_lamp,local_dataset+mock,0.75,0.35,6,1.0,0.06408298750000001,True,,,0,0.0636232,0.0004597875000000029,0.8,0.19999999999999996,0,0,OK,,PASS
baby_stroller,Baby & Kids / Nursery / Strollers & Accessories,local_dataset+mock,0.75,0.35,6,1.0,0.05713006250000001,True,,,0,0.05880992,-0.0016798574999999927,1.0,0.0,0,0,OK,,PASS
pet_hair_vacuum,Home & Kitchen > Vacuums & Floor Care > Handheld Vacuums,local_dataset+mock,0.75,0.35,6,1.0,0.05826320000000001,True,,,0,0.06355888000000001,-0.005295680000000004,1.0,0.0,0,0,OK,,PASS
skincare_serum,skincare_serum,local_dataset+mock,0.75,0.35,6,1.0,0.0583838,True,,,0,0.06137401000000001,-0.002990210000000007,0.8,0.19999999999999996,0,0,OK,,PASS
