category,product_category,source_type,review_confidence,trend_confidence,review_count,evidence_alignment,grounded_ctr,is_grounded,failure_type,regenerate_node,revision_count,baseline_grounded_ctr,delta_grounded_ctr,baseline_evidence_alignment,delta_evidence_alignment,baseline_revision_count,delta_revision_count,diff_status,diff_warning,result
balsamic_vinegar,food_and_beverage,local_dataset+mock,0.75,0.35,6,1.0,0.05642656250000001,True,,,0,0.06352672000000001,-0.007100157499999996,0.8,0.19999999999999996,0,0,OK,,PASS
printer,printer,local_dataset+mock,0.75,0.35,6,1.0,0.056740625,True,,,0,0.06487744,-0.008136814999999992,1.0,0.0,0,0,OK,,PASS
women_bras,Apparel & Accessories,local_dataset+mock,0.75,0.35,6,1.0,0.063105625,True,,,0,0.06571360000000001,-0.0026079750000000124,1.0,0.0,0,0,OK,,PASS
girls_overalls,Apparel > Children's Clothing > Girls' Overalls,local_dataset+mock,0.75,0.35,6,1.0,0.06422620000000001,True,,,0,0.06291568,0.0013105200000000095,0.8,0.19999999999999996,0,0,OK,,PASS
protein_powder,health_supplement,local_dataset+mock,0.75,0.35,6,1.0,0.06137032500000001,True,,,0,0.05850440000000001,0.0028659249999999983,1.0,0.0,0,0,OK,,PASS
phone_case,Accessories / Mobile Phone Accessories,local_dataset+mock,0.75,0.35,6,1.0,0.06520607499999999,True,,,0,0.07158816000000001,-0.006382085000000023,1.0,0.0,0,0,OK,,PASS
desk_lamp,home_lighting,local_dataset+mock,0.75,0.35,6,1.0,0.06163832500000001,True,,,0,0.0636232,-0.001984874999999997,0.8,0.19999999999999996,0,0,OK,,PASS
baby_stroller,baby_stroller,local_dataset+mock,0.75,0.35,6,1.0,0.055534625000000004,True,,,0,0.05880992,-0.0032752949999999975,1.0,0.0,0,0,OK,,PASS
pet_hair_vacuum,Home & Kitchen > Vacuum Cleaners,local_dataset+mock,0.75,0.35,6,1.0,0.0477375,True,,,0,0.06355888000000001,-0.01582138000000001,1.0,0.0,0,0,WARN,grounded_ctr dropped by 0.0158 (0.0636 -> 0.0477),PASS
skincare_serum,Beauty & Personal Care,local_dataset+mock,0.75,0.35,6,1.0,0.05798682500000001,True,,,0,0.06137401000000001,-0.003387184999999994,0.8,0.19999999999999996,0,0,OK,,PASS
