category,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_nodes,node_count
balsamic_vinegar,53375.68636969081,11463,0.0005,0.0057315,0.0936626738352426,0.09053844947947517,,9
printer,62022.27630169364,12332,0.0005,0.0061660000000000005,0.1007631591848741,0.10520521817086412,,9
women_bras,58131.61411341571,11802,0.0005,0.005901,0.09643259849982841,0.09860568670001202,,9
girls_overalls,62429.447796843306,12487,0.0005,0.0062435,0.10202964391351953,0.10589588237305832,,9
protein_powder,56008.66573606618,12196,0.0005,0.006098,0.09965192097135293,0.09500463784269299,,9
phone_case,66024.10183200845,12813,0.0005,0.006406500000000001,0.10469334727828346,0.11199331033875844,,9
desk_lamp,57697.6325076248,12039,0.0005,0.0060195,0.09836909450427336,0.09786954587703924,,9
baby_stroller,64832.50396349467,13267,0.0005,0.0066335,0.10840292190283202,0.10997206376084936,,9
pet_hair_vacuum,55792.42606268963,12517,0.0005,0.0062585,0.10227476999003154,0.09463784153382944,,9
skincare_serum,53221.76700354612,11470,0.0005,0.0057350000000000005,0.09371986991976207,0.090277363923421,,9
