category,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_nodes,node_count
balsamic_vinegar,48472.9149818595,11756,0.0005,0.005878,0.09485081731777767,0.08966577195952748,,9
printer,46343.54327330584,11332,0.0005,0.005666000000000001,0.09142986235497248,0.08572683496537938,,9
women_bras,58289.75844056549,12328,0.0005,0.006164,0.09946587920156202,0.1078250852019873,,9
girls_overalls,58224.69142355112,12780,0.0005,0.00639,0.10311274628455246,0.10770472346364578,,9
protein_powder,55212.57044030426,12988,0.0005,0.006494,0.10479095060592858,0.10213286641111662,,9
phone_case,60036.27722801684,13260,0.0005,0.00663,0.10698552548772813,0.11105581633043811,,9
desk_lamp,50117.196260456694,12182,0.0005,0.006091,0.09828790886059609,0.0927073829338044,,9
baby_stroller,58362.93926233702,12964,0.0005,0.006482,0.1045973116457698,0.10796045595242044,,9
pet_hair_vacuum,50594.521397764765,12139,0.0005,0.006069499999999999,0.0979409723903116,0.09359034462340844,,9
skincare_serum,54941.11134240666,12213,0.0005,0.0061065,0.09853802585080118,0.10163071815827202,,9
