category,node,latency_ms,total_tokens,status,error,retries,model,role_key
baby_stroller,planner,4493.647813796997,909,success,,0,deepseek-chat,planner
baby_stroller,analysis_audience,7060.699462890625,1136,success,,0,deepseek-chat,audience
baby_stroller,analysis_painpoint,4726.6669273376465,953,success,,0,deepseek-chat,painpoint
baby_stroller,analysis_dopamine,19334.906578063965,2213,success,,0,deepseek-chat,dopamine
baby_stroller,cognitive_synthesis,13483.365058898926,6141,success,,0,deepseek-chat,synthesis
baby_stroller,strategy,40266.53528213501,21042,success,,0,deepseek-chat,strategy
baby_stroller,storyboard,36282.25111961365,9461,success,,0,deepseek-chat,storyboard
balsamic_vinegar,planner,4496.340990066528,939,success,,0,deepseek-chat,planner
balsamic_vinegar,analysis_audience,4202.494859695435,948,success,,0,deepseek-chat,audience
balsamic_vinegar,analysis_painpoint,4937.75486946106,1002,success,,0,deepseek-chat,painpoint
balsamic_vinegar,analysis_dopamine,14767.997980117798,1773,success,,0,deepseek-chat,dopamine
balsamic_vinegar,cognitive_synthesis,9197.964668273926,4842,success,,0,deepseek-chat,synthesis
balsamic_vinegar,strategy,27324.374437332153,17528,success,,0,deepseek-chat,strategy
balsamic_vinegar,storyboard,37110.044956207275,8489,success,,0,deepseek-chat,storyboard
desk_lamp,planner,4375.911474227905,920,success,,0,deepseek-chat,planner
desk_lamp,analysis_audience,7663.643836975098,1168,success,,0,deepseek-chat,audience
desk_lamp,analysis_painpoint,5680.423736572266,1173,success,,0,deepseek-chat,painpoint
desk_lamp,analysis_dopamine,10045.964241027832,1301,success,,0,deepseek-chat,dopamine
desk_lamp,cognitive_synthesis,13465.145349502563,5448,success,,0,deepseek-chat,synthesis
desk_lamp,strategy,20376.01327896118,15943,success,,0,deepseek-chat,strategy
desk_lamp,storyboard,29487.717390060425,7573,success,,0,deepseek-chat,storyboard
girls_overalls,planner,3402.7180671691895,777,success,,0,deepseek-chat,planner
girls_overalls,analysis_audience,3328.8698196411133,837,success,,0,deepseek-chat,audience
girls_overalls,analysis_painpoint,8079.940319061279,1391,success,,0,deepseek-chat,painpoint
girls_overalls,analysis_dopamine,14859.987735748291,1886,success,,0,deepseek-chat,dopamine
girls_overalls,cognitive_synthesis,16093.286275863647,6215,success,,0,deepseek-chat,synthesis
girls_overalls,strategy,37323.4543800354,21030,success,,0,deepseek-chat,strategy
girls_overalls,storyboard,30870.40877342224,6837,success,,0,deepseek-chat,storyboard
pet_hair_vacuum,planner,3760.366201400757,770,success,,0,deepseek-chat,planner
pet_hair_vacuum,analysis_audience,4376.844644546509,943,success,,0,deepseek-chat,audience
pet_hair_vacuum,analysis_painpoint,6595.540523529053,1242,success,,0,deepseek-chat,painpoint
pet_hair_vacuum,analysis_dopamine,16022.359132766724,2076,success,,0,deepseek-chat,dopamine
pet_hair_vacuum,cognitive_synthesis,12073.567390441895,6093,success,,0,deepseek-chat,synthesis
pet_hair_vacuum,strategy,15944.169521331787,15014,success,,0,deepseek-chat,strategy
pet_hair_vacuum,storyboard,37716.02964401245,8686,success,,0,deepseek-chat,storyboard
phone_case,planner,4364.742994308472,857,success,,0,deepseek-chat,planner
phone_case,analysis_audience,5842.680931091309,1009,success,,0,deepseek-chat,audience
phone_case,analysis_painpoint,5368.370532989502,1102,success,,0,deepseek-chat,painpoint
phone_case,analysis_dopamine,15101.4404296875,1891,success,,0,deepseek-chat,dopamine
phone_case,cognitive_synthesis,17775.66957473755,6119,success,,0,deepseek-chat,synthesis
phone_case,strategy,44767.462968826294,21256,success,,0,deepseek-chat,strategy
phone_case,storyboard,43495.48077583313,10386,success,,0,deepseek-chat,storyboard
printer,planner,4247.541427612305,886,success,,0,deepseek-chat,planner
printer,analysis_audience,5841.974973678589,1098,success,,0,deepseek-chat,audience
printer,analysis_painpoint,3949.5444297790527,827,success,,0,deepseek-chat,painpoint
printer,analysis_dopamine,15004.225015640259,1914,success,,0,deepseek-chat,dopamine
printer,cognitive_synthesis,9748.80838394165,5016,success,,0,deepseek-chat,synthesis
printer,strategy,24051.908016204834,16116,success,,0,deepseek-chat,strategy
printer,storyboard,55195.95289230347,11770,success,,0,deepseek-chat,storyboard
protein_powder,planner,5363.119602203369,1066,success,,0,deepseek-chat,planner
protein_powder,analysis_audience,5222.568035125732,1014,success,,0,deepseek-chat,audience
protein_powder,analysis_painpoint,6063.810110092163,1200,success,,0,deepseek-chat,painpoint
protein_powder,analysis_dopamine,13829.181909561157,1830,success,,0,deepseek-chat,dopamine
protein_powder,cognitive_synthesis,13326.565027236938,5579,success,,0,deepseek-chat,synthesis
protein_powder,strategy,24695.22976875305,17788,success,,0,deepseek-chat,strategy
protein_powder,storyboard,41620.34201622009,9406,success,,0,deepseek-chat,storyboard
skincare_serum,planner,5361.263990402222,986,success,,0,deepseek-chat,planner
skincare_serum,analysis_audience,3868.455410003662,856,success,,0,deepseek-chat,audience
skincare_serum,analysis_painpoint,4583.575010299683,984,success,,0,deepseek-chat,painpoint
skincare_serum,analysis_dopamine,15009.297847747803,1920,success,,0,deepseek-chat,dopamine
skincare_serum,cognitive_synthesis,16661.22555732727,5487,success,,0,deepseek-chat,synthesis
skincare_serum,strategy,28943.86649131775,17163,success,,0,deepseek-chat,strategy
skincare_serum,storyboard,36747.289419174194,7634,success,,0,deepseek-chat,storyboard
women_bras,planner,4504.7876834869385,909,success,,0,deepseek-chat,planner
women_bras,analysis_audience,3949.021816253662,874,success,,0,deepseek-chat,audience
women_bras,analysis_painpoint,3086.818218231201,873,success,,0,deepseek-chat,painpoint
women_bras,analysis_dopamine,17539.507150650024,2134,success,,0,deepseek-chat,dopamine
women_bras,cognitive_synthesis,13703.300952911377,5547,success,,0,deepseek-chat,synthesis
women_bras,strategy,26027.584552764893,18016,success,,0,deepseek-chat,strategy
women_bras,storyboard,60902.38976478577,12772,success,,0,deepseek-chat,storyboard
