category,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_nodes,node_count
balsamic_vinegar,52273.40793609619,11972,0.0005,0.005986,0.09798818117828087,0.09168159716627226,,7
printer,50456.31217956543,11782,0.0005,0.005891,0.09643307305734257,0.0884946183994305,,7
women_bras,50303.65610122681,11518,0.0005,0.005759,0.09427229124719672,0.08822687704427848,,7
girls_overalls,58350.46410560608,12269,0.0005,0.0061345,0.10041906071469495,0.10234006076541106,,7
protein_powder,63449.50556755066,12633,0.0005,0.0063165,0.10339832048322939,0.11128319808333041,,7
phone_case,57537.341356277466,12095,0.0005,0.006047500000000001,0.09899490906709882,0.10091393617751711,,7
desk_lamp,55585.20603179932,11867,0.0005,0.0059335,0.09712877932197286,0.09749011340606799,,7
baby_stroller,63396.24762535095,12581,0.0005,0.0062905,0.10297271194486732,0.11118978972532499,,7
pet_hair_vacuum,55755.1748752594,12181,0.0005,0.0060904999999999996,0.099698800111313,0.0977882193771953,,7
skincare_serum,63055.17649650574,13280,0.0005,0.00664,0.1086938728740035,0.1105915898551719,,7
