category,node,latency_ms,total_tokens,status,error,retries,model,role_key
balsamic_vinegar,planner,5053.682327270508,930,success,,0,deepseek-chat,planner
balsamic_vinegar,analysis_audience,4733.104228973389,892,success,,0,deepseek-chat,audience
balsamic_vinegar,analysis_painpoint,5143.4314250946045,1097,success,,0,deepseek-chat,painpoint
balsamic_vinegar,analysis_dopamine,2085.7739448547363,246,success,,0,deepseek-chat,dopamine
balsamic_vinegar,cognitive_synthesis,8918.384075164795,2685,success,,0,deepseek-chat,synthesis
balsamic_vinegar,strategy,11895.97773551941,2682,success,,0,deepseek-chat,strategy
balsamic_vinegar,storyboard,14443.05419921875,3440,success,,0,deepseek-chat,storyboard
printer,planner,4445.646286010742,824,success,,0,deepseek-chat,planner
printer,analysis_audience,5761.111736297607,1000,success,,0,deepseek-chat,audience
printer,analysis_painpoint,6303.529977798462,1179,success,,0,deepseek-chat,painpoint
printer,analysis_dopamine,2157.3002338409424,251,success,,0,deepseek-chat,dopamine
printer,cognitive_synthesis,7450.354814529419,2479,success,,0,deepseek-chat,synthesis
printer,strategy,11727.370023727417,2706,success,,0,deepseek-chat,strategy
printer,storyboard,12610.99910736084,3343,success,,0,deepseek-chat,storyboard
women_bras,planner,4370.481967926025,815,success,,0,deepseek-chat,planner
women_bras,analysis_audience,4407.122850418091,895,success,,0,deepseek-chat,audience
women_bras,analysis_painpoint,4986.008405685425,1031,success,,0,deepseek-chat,painpoint
women_bras,analysis_dopamine,1857.2182655334473,247,success,,0,deepseek-chat,dopamine
women_bras,cognitive_synthesis,10485.574960708618,2762,success,,0,deepseek-chat,synthesis
women_bras,strategy,11478.679895401001,2599,success,,0,deepseek-chat,strategy
women_bras,storyboard,12718.5697555542,3169,success,,0,deepseek-chat,storyboard
girls_overalls,planner,6328.879594802856,994,success,,0,deepseek-chat,planner
girls_overalls,analysis_audience,4824.934244155884,837,success,,0,deepseek-chat,audience
girls_overalls,analysis_painpoint,4802.180528640747,945,success,,0,deepseek-chat,painpoint
girls_overalls,analysis_dopamine,2238.0621433258057,241,success,,0,deepseek-chat,dopamine
girls_overalls,cognitive_synthesis,13339.555740356445,3037,success,,0,deepseek-chat,synthesis
girls_overalls,strategy,12319.900751113892,2688,success,,0,deepseek-chat,strategy
girls_overalls,storyboard,14496.95110321045,3527,success,,0,deepseek-chat,storyboard
protein_powder,planner,5607.0802211761475,972,success,,0,deepseek-chat,planner
protein_powder,analysis_audience,8367.140769958496,1179,success,,0,deepseek-chat,audience
protein_powder,analysis_painpoint,6709.293603897095,1115,success,,0,deepseek-chat,painpoint
protein_powder,analysis_dopamine,2330.6479454040527,260,success,,0,deepseek-chat,dopamine
protein_powder,cognitive_synthesis,12763.518333435059,2967,success,,0,deepseek-chat,synthesis
protein_powder,strategy,12386.89374923706,2639,success,,0,deepseek-chat,strategy
protein_powder,storyboard,15284.930944442749,3501,success,,0,deepseek-chat,storyboard
phone_case,planner,5953.991174697876,1035,success,,0,deepseek-chat,planner
phone_case,analysis_audience,5281.554937362671,884,success,,0,deepseek-chat,audience
phone_case,analysis_painpoint,6165.323257446289,1108,success,,0,deepseek-chat,painpoint
phone_case,analysis_dopamine,2229.7656536102295,247,success,,0,deepseek-chat,dopamine
phone_case,cognitive_synthesis,10957.339525222778,2683,success,,0,deepseek-chat,synthesis
phone_case,strategy,12321.13003730774,2594,success,,0,deepseek-chat,strategy
phone_case,storyboard,14628.236770629883,3544,success,,0,deepseek-chat,storyboard
desk_lamp,planner,5972.905158996582,978,success,,0,deepseek-chat,planner
desk_lamp,analysis_audience,8222.959280014038,1084,success,,0,deepseek-chat,audience
desk_lamp,analysis_painpoint,4498.400926589966,957,success,,0,deepseek-chat,painpoint
desk_lamp,analysis_dopamine,2247.3044395446777,243,success,,0,deepseek-chat,dopamine
desk_lamp,cognitive_synthesis,11977.46467590332,2957,success,,0,deepseek-chat,synthesis
desk_lamp,strategy,10080.026388168335,2433,success,,0,deepseek-chat,strategy
desk_lamp,storyboard,12586.145162582397,3215,success,,0,deepseek-chat,storyboard
baby_stroller,planner,6177.273750305176,1027,success,,0,deepseek-chat,planner
baby_stroller,analysis_audience,8344.055652618408,1201,success,,0,deepseek-chat,audience
baby_stroller,analysis_painpoint,5344.624757766724,911,success,,0,deepseek-chat,painpoint
baby_stroller,analysis_dopamine,2496.6578483581543,249,success,,0,deepseek-chat,dopamine
baby_stroller,cognitive_synthesis,13869.730949401855,2860,success,,0,deepseek-chat,synthesis
baby_stroller,strategy,15413.482904434204,2962,success,,0,deepseek-chat,strategy
baby_stroller,storyboard,11750.42176246643,3371,success,,0,deepseek-chat,storyboard
pet_hair_vacuum,planner,4998.174428939819,938,success,,0,deepseek-chat,planner
pet_hair_vacuum,analysis_audience,7127.767562866211,1163,success,,0,deepseek-chat,audience
pet_hair_vacuum,analysis_painpoint,5415.083646774292,1084,success,,0,deepseek-chat,painpoint
pet_hair_vacuum,analysis_dopamine,2079.059839248657,246,success,,0,deepseek-chat,dopamine
pet_hair_vacuum,cognitive_synthesis,10891.554117202759,2808,success,,0,deepseek-chat,synthesis
pet_hair_vacuum,strategy,11266.640901565552,2353,success,,0,deepseek-chat,strategy
pet_hair_vacuum,storyboard,13976.89437866211,3589,success,,0,deepseek-chat,storyboard
skincare_serum,planner,4192.607879638672,879,success,,0,deepseek-chat,planner
skincare_serum,analysis_audience,7935.311079025269,1298,success,,0,deepseek-chat,audience
skincare_serum,analysis_painpoint,7567.294359207153,1325,success,,0,deepseek-chat,painpoint
