category,product_category,source_type,review_confidence,trend_confidence,review_count,evidence_alignment,grounded_ctr,is_grounded,failure_type,regenerate_node,revision_count,baseline_grounded_ctr,delta_grounded_ctr,baseline_evidence_alignment,delta_evidence_alignment,baseline_revision_count,delta_revision_count,diff_status,diff_warning,result
balsamic_vinegar,food,local_dataset+mock,0.75,0.35,6,1.0,0.07208613750000001,True,,,0,0.06352672000000001,0.0085594175,0.8,0.19999999999999996,0,0,OK,,PASS
printer,printer,local_dataset+mock,0.75,0.35,6,1.0,0.057313475000000016,True,,,0,0.06487744,-0.007563964999999978,1.0,0.0,0,0,OK,,PASS
women_bras,Apparel & Accessories > Intimate Apparel > Bras,local_dataset+mock,0.75,0.35,6,1.0,0.0633242125,True,,,0,0.06571360000000001,-0.0023893875000000064,1.0,0.0,0,0,OK,,PASS
girls_overalls,Apparel > Children's Clothing > Girls' Overalls,local_dataset+mock,0.75,0.35,6,1.0,0.05670963749999999,True,,,0,0.06291568,-0.0062060425000000086,0.8,0.19999999999999996,0,0,OK,,PASS
protein_powder,dietary_supplements,local_dataset+mock,0.75,0.35,6,1.0,0.0652513,True,,,0,0.05850440000000001,0.006746899999999986,1.0,0.0,0,0,OK,,PASS
phone_case,phone_case,local_dataset+mock,0.75,0.35,6,1.0,0.06125558750000001,True,,,0,0.07158816000000001,-0.010332572500000005,1.0,0.0,0,0,WARN,grounded_ctr dropped by 0.0103 (0.0716 -> 0.0613),PASS
desk_lamp,desk_lamp,local_dataset+mock,0.75,0.35,6,1.0,0.06499083750000001,True,,,0,0.0636232,0.0013676375000000046,0.8,0.19999999999999996,0,0,OK,,PASS
baby_stroller,baby_stroller,local_dataset+mock,0.75,0.35,6,1.0,0.057094887500000004,True,,,0,0.05880992,-0.001715032499999998,1.0,0.0,0,0,OK,,PASS
pet_hair_vacuum,Home & Kitchen,local_dataset+mock,0.75,0.35,6,1.0,0.0586116,True,,,0,0.06355888000000001,-0.004947280000000012,1.0,0.0,0,0,OK,,PASS
skincare_serum,Skincare,local_dataset+mock,0.75,0.35,6,1.0,0.0586652,True,,,0,0.06137401000000001,-0.002708810000000006,0.8,0.19999999999999996,0,0,OK,,PASS
