category,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_nodes,node_count
balsamic_vinegar,62258.13632077916,12784,0.0005,0.006392,0.10318831221244652,0.10005145659211186,,9
printer,67396.39577825437,13465,0.0005,0.0067325,0.10868512390023408,0.10830885672403658,,9
women_bras,62019.87540220216,12203,0.0005,0.0061015,0.09849866817337961,0.09966856122515486,,9
girls_overalls,62371.95429741405,12439,0.0005,0.0062195,0.10040358382436032,0.10023436689141818,,9
protein_powder,60136.5456096064,12251,0.0005,0.0061255,0.09888610864476552,0.09664197064393897,,9
phone_case,65097.46072424241,12566,0.0005,0.006283,0.10142868673823553,0.10461437092093692,,9
desk_lamp,58388.74888613282,12096,0.0005,0.006048,0.09763499878924853,0.09383318743350919,,9
baby_stroller,66955.8848685956,12210,0.0005,0.006105,0.09855516990879006,0.10760093707271598,,9
pet_hair_vacuum,57199.98314755867,11581,0.0005,0.0057905,0.09347808539833724,0.09192279064491395,,9
skincare_serum,60436.183781497675,12295,0.0005,0.0061475,0.0992412624102026,0.09712350185126349,,9
