category,product_category,source_type,review_confidence,trend_confidence,review_count,evidence_alignment,grounded_ctr,is_grounded,failure_type,regenerate_node,revision_count,baseline_grounded_ctr,delta_grounded_ctr,baseline_evidence_alignment,delta_evidence_alignment,baseline_revision_count,delta_revision_count,diff_status,diff_warning,result
balsamic_vinegar,food,local_dataset+mock,0.75,0.35,6,1.0,0.057161887499999994,True,,,0,0.06352672000000001,-0.0063648325000000144,0.8,0.19999999999999996,0,0,OK,,PASS
printer,printer,local_dataset+mock,0.75,0.35,6,1.0,0.054833637500000004,True,,,0,0.06487744,-0.01004380249999999,1.0,0.0,0,0,WARN,grounded_ctr dropped by 0.0100 (0.0649 -> 0.0548),PASS
women_bras,women's bras,local_dataset+mock,0.75,0.35,6,1.0,0.058129200000000006,True,,,1,0.06571360000000001,-0.007584400000000005,1.0,0.0,0,1,OK,,PASS
girls_overalls,girls_overalls,local_dataset+mock,0.75,0.35,6,1.0,0.051911599999999995,True,,,0,0.06291568,-0.011004080000000006,0.8,0.19999999999999996,0,0,WARN,grounded_ctr dropped by 0.0110 (0.0629 -> 0.0519),PASS
protein_powder,health_and_wellness,local_dataset+mock,0.75,0.35,6,1.0,0.056385525000000006,True,,,0,0.05850440000000001,-0.002118875000000006,1.0,0.0,0,0,OK,,PASS
phone_case,phone_case,local_dataset+mock,0.75,0.35,6,1.0,0.064408775,True,,,0,0.07158816000000001,-0.00717938500000001,1.0,0.0,0,0,OK,,PASS
desk_lamp,home_lighting,local_dataset+mock,0.75,0.35,6,1.0,0.062248862499999995,True,,,0,0.0636232,-0.00137433750000001,0.8,0.19999999999999996,0,0,OK,,PASS
baby_stroller,Baby & Kids / Strollers & Prams,local_dataset+mock,0.75,0.35,6,1.0,0.0614448625,True,,,0,0.05880992,0.002634942500000001,1.0,0.0,0,0,OK,,PASS
pet_hair_vacuum,Home & Pet Care — Vacuum,local_dataset+mock,0.75,0.35,6,1.0,0.05957305,True,,,0,0.06355888000000001,-0.00398583000000001,1.0,0.0,0,0,OK,,PASS
skincare_serum,Skincare,local_dataset+mock,0.75,0.35,6,1.0,0.050433412500000004,True,,,0,0.06137401000000001,-0.010940597500000003,0.8,0.19999999999999996,0,0,WARN,grounded_ctr dropped by 0.0109 (0.0614 -> 0.0504),PASS
