category,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_nodes,node_count
balsamic_vinegar,59236.902856275265,12412,0.0005,0.006206000000000001,0.09676916360007484,0.09956558229586844,,9
printer,64443.02495185548,12684,0.0005,0.0063419999999999995,0.09888978980851992,0.1083160495376736,,9
women_bras,83138.0295753479,17683,0.0005,0.0088415,0.1378640928085823,0.1397386751580269,,10
girls_overalls,57461.88932743098,12043,0.0005,0.0060215,0.09389228466288281,0.09658213368426191,,9
protein_powder,47661.72796769388,11382,0.0005,0.005691,0.08873885111956589,0.08010999004867804,,9
phone_case,54590.22465191083,12148,0.0005,0.0060739999999999995,0.09471090875070168,0.09175543019724207,,9
desk_lamp,61340.671385063615,13148,0.0005,0.006574,0.10250732863469095,0.10310160339900998,,9
baby_stroller,53811.42741547228,12165,0.0005,0.006082499999999999,0.09484344788872949,0.09044642522572027,,9
pet_hair_vacuum,55741.190584107244,12063,0.0005,0.0060315,0.09404821306056259,0.09368997754384939,,9
skincare_serum,57528.52367117157,12536,0.0005,0.006268,0.09773591966568952,0.09669413290966929,,9
