node,total_latency_ms,total_tokens,total_reasoning_latency_ms,total_input_size_char,memory_context_used_count,total_evidence_count,total_trend_signal_count,fallback_count,fallback_indicators,max_memory_write_count,max_memory_skipped_count,max_memory_retrieval_count,max_memory_retrieval_hits_success,max_memory_retrieval_hits_failure,max_memory_record_count_total,max_memory_record_limit,max_memory_peak_record_count,min_memory_remaining_capacity,memory_limit_reached_count,max_memory_pruned_count,max_faiss_fallback_count,max_faiss_recovery_count,memory_backends,memory_faiss_errors,faiss_fallback_traces,adapter_fetch_latency_ms,adapter_fallback_count,adapter_names,source_names,adapter_enabled_states,adapter_fallback_reasons,adapter_source_types,adapter_confidences,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_count,run_count
planner,49505.839586257935,8684,39855.40819999733,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0043419999999999995,0.06770411027256285,0.08320957895808465,0,10
retrieval_sources,8.35209999786457,0,0.0,0,0,0,0,0,,9,0,9,18,18,296,500,296,204,0,0,0,0,json_fallback;faiss,,,8.211500018660445,0,LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True,,local_dataset;mock,0.75;0.35,0.0005,0.0,0.0,1.4038237307888116e-05,0,10
analysis_audience,71539.01219367981,11654,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.005827,0.09085947732801097,0.12024300836957762,0,10
analysis_painpoint,65348.846197128296,11674,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.005837,0.09101540572569077,0.10983855688348097,0,10
analysis_dopamine,19720.253229141235,2578,0.0,0,0,0,0,0,,9,0,9,18,18,296,500,296,204,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.001289,0.020099170460924343,0.033145866868585415,0,10
cognitive_synthesis,107126.52087211609,28329,47957.91029997781,30438,0,50,20,0,,9,0,9,18,18,296,500,296,204,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0141645,0.2208647788935321,0.18005861069140666,0,10
strategy,126843.15824508667,25717,51175.67749998125,27650,10,40,20,0,,9,0,10,20,20,296,500,296,204,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0128585,0.20050053015655211,0.213198400016978,0,10
storyboard,137847.24688529968,34629,59053.98460000288,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0173145,0.2699822241626645,0.23169410860857081,0,10
analytics_memory,0.0,0,0.0,0,0,0,0,0,,10,0,10,20,20,297,500,297,203,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0,0.0,0.0,0,10
reflection,17014.38307762146,4999,9091.102900005353,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0024995,0.03897430300006237,0.028597831366007884,0,1
