category,node,latency_ms,total_tokens,reasoning_latency_ms,status,error,retries,model,role_key,node_name,input_size_char,memory_context_used,evidence_count,trend_signal_count,fallback,fallback_indicators,memory_write_count,memory_skipped_count,memory_retrieval_count,memory_retrieval_hits_success,memory_retrieval_hits_failure,memory_record_count_success,memory_record_count_failure,memory_record_count_total,memory_backend,memory_faiss_error,memory_max_record_count,memory_peak_record_count,memory_remaining_capacity,memory_limit_reached,memory_limit_reached_count,memory_pruned_count,faiss_fallback_count,faiss_recovery_count,faiss_fallback_trace,adapter_names,source_names,adapter_enabled,adapter_fallback,adapter_fallback_reason,adapter_fetch_latency_ms,adapter_source_type,adapter_confidence
balsamic_vinegar,planner,4447.490453720093,882,3503.0922000005376,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,retrieval_sources,0.7483000008505769,0,0,success,,0,tool_runtime,retrieval_sources,retrieval_sources,0,False,0,0,False,,0,0,0,0,0,284,3,287,json_fallback,,500,287,213,False,0,0,0,0,[],LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True;True,False;False,;,0.7315999973798171,local_dataset;mock,0.75;0.35
balsamic_vinegar,analysis_audience,8201.92575454712,1274,0.0,success,,0,deepseek-chat,audience,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analysis_painpoint,5100.236415863037,987,0.0,success,,0,deepseek-chat,painpoint,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analysis_dopamine,2200.948715209961,262,0.0,success,,0,deepseek-chat,dopamine,,0,False,0,0,False,,0,0,0,0,0,284,3,287,json_fallback,,500,287,213,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,cognitive_synthesis,10913.032054901123,3024,5198.732400000154,success,,0,deepseek-chat,synthesis,cognitive_synthesis,3020,False,5,2,False,,0,0,0,0,0,284,3,287,json_fallback,,500,287,213,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,strategy,14285.444259643555,2570,5667.57929999585,success,,0,deepseek-chat,strategy,strategy,2911,True,4,2,False,,0,0,1,2,2,284,3,287,faiss,,500,287,213,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,storyboard,14087.076902389526,3413,5255.793700001959,success,,0,deepseek-chat,storyboard,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analytics_memory,0.0,0,0,success,,0,memory_engine,analytics_memory,analytics_memory,0,False,0,0,False,,1,0,1,2,2,285,3,288,faiss,,500,288,212,False,0,0,0,0,[],,,,,,0,,
printer,planner,4786.975145339966,789,3868.005500000436,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
printer,retrieval_sources,0.7324999969569035,0,0,success,,0,tool_runtime,retrieval_sources,retrieval_sources,0,False,0,0,False,,1,0,1,2,2,285,3,288,faiss,,500,288,212,False,0,0,0,0,[],LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True;True,False;False,;,0.7126000054995529,local_dataset;mock,0.75;0.35
printer,analysis_audience,8937.36219406128,1297,0.0,success,,0,deepseek-chat,audience,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
printer,analysis_painpoint,5612.299203872681,1039,0.0,success,,0,deepseek-chat,painpoint,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
printer,analysis_dopamine,2085.3493213653564,255,0.0,success,,0,deepseek-chat,dopamine,,0,False,0,0,False,,1,0,1,2,2,285,3,288,faiss,,500,288,212,False,0,0,0,0,[],,,,,,0,,
printer,cognitive_synthesis,12000.463485717773,2754,5743.048500000441,success,,0,deepseek-chat,synthesis,cognitive_synthesis,3038,False,5,2,False,,1,0,1,2,2,285,3,288,faiss,,500,288,212,False,0,0,0,0,[],,,,,,0,,
