category,product_category,source_type,review_confidence,trend_confidence,review_count,evidence_alignment,grounded_ctr,is_grounded,failure_type,regenerate_node,revision_count,baseline_grounded_ctr,delta_grounded_ctr,baseline_evidence_alignment,delta_evidence_alignment,baseline_revision_count,delta_revision_count,diff_status,diff_warning,result
balsamic_vinegar,Food & Beverage / Gourmet Grocery / Condiments,local_dataset+mock,0.75,0.35,6,1.0,0.061716212500000006,True,,,0,0.06352672000000001,-0.0018105075000000026,0.8,0.19999999999999996,0,0,OK,,PASS
printer,printer,local_dataset+mock,0.75,0.35,6,1.0,0.055788387499999995,True,,,0,0.06487744,-0.0090890525,1.0,0.0,0,0,OK,,PASS
women_bras,Apparel & Accessories,local_dataset+mock,0.75,0.35,6,1.0,0.06527642500000001,True,,,0,0.06571360000000001,-0.000437174999999998,1.0,0.0,0,0,OK,,PASS
girls_overalls,Apparel > Children's Clothing > Overalls,local_dataset+mock,0.75,0.35,6,1.0,0.06309557500000001,True,,,0,0.06291568,0.00017989500000001324,0.8,0.19999999999999996,0,0,OK,,PASS
protein_powder,Health & Fitness / Sports Nutrition,local_dataset+mock,0.75,0.35,6,1.0,0.05497182500000001,True,,,0,0.05850440000000001,-0.003532575000000003,1.0,0.0,0,0,OK,,PASS
phone_case,phone_case,local_dataset+mock,0.75,0.35,6,1.0,0.05451455,True,,,0,0.07158816000000001,-0.01707361000000001,1.0,0.0,0,0,WARN,grounded_ctr dropped by 0.0171 (0.0716 -> 0.0545),PASS
desk_lamp,Home & Office > Lighting > Desk Lamps,local_dataset+mock,0.75,0.35,6,1.0,0.0725032125,True,,,0,0.0636232,0.008880012499999992,0.8,0.19999999999999996,0,0,OK,,PASS
baby_stroller,Baby & Kids / Strollers & Travel Systems,local_dataset+mock,0.75,0.35,6,1.0,0.056725550000000007,True,,,0,0.05880992,-0.002084369999999995,1.0,0.0,0,0,OK,,PASS
pet_hair_vacuum,Home & Kitchen > Vacuum Cleaners > Pet Hair Vacuums,local_dataset+mock,0.75,0.35,6,1.0,0.0617363125,True,,,0,0.06355888000000001,-0.0018225675000000108,1.0,0.0,0,0,OK,,PASS
skincare_serum,skincare_serum,local_dataset+mock,0.75,0.35,6,1.0,0.06293980000000002,True,,,0,0.06137401000000001,0.0015657900000000113,0.8,0.19999999999999996,0,0,OK,,PASS
