category,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_nodes,node_count
balsamic_vinegar,46844.38857789792,11580,0.0005,0.00579,0.09375227701450004,0.0863469549847258,,9
printer,54683.36974413978,12074,0.0005,0.006037,0.09775172648299424,0.10079633034079484,,9
women_bras,62379.32996593008,13383,0.0005,0.0066914999999999995,0.10834945796934835,0.11498207917878271,,9
girls_overalls,52897.183553483046,11927,0.0005,0.0059635,0.09656160690431277,0.09750390315194377,,9
protein_powder,48200.76270755817,11332,0.0005,0.005666000000000001,0.09174445622869726,0.08884712158891711,,9
phone_case,52669.050379132386,12056,0.0005,0.0060279999999999995,0.09760599755499243,0.09708339163425318,,9
desk_lamp,56945.00024241279,13070,0.0005,0.006535,0.10581539383242793,0.10496513076182545,,9
baby_stroller,54815.93832153885,12488,0.0005,0.0062439999999999996,0.10110349182703596,0.10104069030220263,,9
pet_hair_vacuum,55768.13658019819,12719,0.0005,0.0063595,0.10297367973639256,0.1027958507957646,,9
skincare_serum,57310.33778277924,12888,0.0005,0.006444,0.10434191244929848,0.10563854726078978,,9
