category,node,latency_ms,total_tokens,reasoning_latency_ms,status,error,retries,model,role_key,node_name,input_size_char,memory_context_used,evidence_count,trend_signal_count,fallback,fallback_indicators,memory_write_count,memory_skipped_count,memory_retrieval_count,memory_retrieval_hits_success,memory_retrieval_hits_failure,memory_record_count_success,memory_record_count_failure,memory_record_count_total,memory_backend,memory_faiss_error,memory_max_record_count,memory_peak_record_count,memory_remaining_capacity,memory_limit_reached,memory_limit_reached_count,memory_pruned_count,faiss_fallback_count,faiss_recovery_count,faiss_fallback_trace,adapter_names,source_names,adapter_enabled,adapter_fallback,adapter_fallback_reason,adapter_fetch_latency_ms,adapter_source_type,adapter_confidence
balsamic_vinegar,planner,4671.446323394775,906,3684.6824000022025,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,retrieval_sources,0.9428000048501417,0,0,success,,0,tool_runtime,retrieval_sources,retrieval_sources,0,False,0,0,False,,0,0,0,0,0,294,3,297,json_fallback,,500,297,203,False,0,0,0,0,[],LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True;True,False;False,;,0.9187999967252836,local_dataset;mock,0.75;0.35
balsamic_vinegar,analysis_audience,4649.210453033447,1030,0.0,success,,0,deepseek-chat,audience,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analysis_painpoint,4482.661485671997,1055,0.0,success,,0,deepseek-chat,painpoint,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analysis_dopamine,2238.3763790130615,259,0.0,success,,0,deepseek-chat,dopamine,,0,False,0,0,False,,0,0,0,0,0,294,3,297,json_fallback,,500,297,203,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,cognitive_synthesis,8827.173471450806,2702,4266.814000002341,success,,0,deepseek-chat,synthesis,cognitive_synthesis,3067,False,5,2,False,,0,0,0,0,0,294,3,297,json_fallback,,500,297,203,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,strategy,9724.094152450562,2382,4272.932699997909,success,,0,deepseek-chat,strategy,strategy,2602,True,4,2,False,,0,0,1,2,2,294,3,297,faiss,,500,297,203,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,storyboard,12250.483512878418,3246,5270.896100002574,success,,0,deepseek-chat,storyboard,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analytics_memory,0.0,0,0,success,,0,memory_engine,analytics_memory,analytics_memory,0,False,0,0,False,,1,0,1,2,2,295,3,298,faiss,,500,298,202,False,0,0,0,0,[],,,,,,0,,
printer,planner,4312.183141708374,821,3490.030699998897,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
printer,retrieval_sources,0.6826999961049296,0,0,success,,0,tool_runtime,retrieval_sources,retrieval_sources,0,False,0,0,False,,1,0,1,2,2,295,3,298,faiss,,500,298,202,False,0,0,0,0,[],LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True;True,False;False,;,0.6662999949185178,local_dataset;mock,0.75;0.35
printer,analysis_audience,7958.5771560668945,1278,0.0,success,,0,deepseek-chat,audience,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
printer,analysis_painpoint,3704.484701156616,890,0.0,success,,0,deepseek-chat,painpoint,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
printer,analysis_dopamine,2156.3730239868164,258,0.0,success,,0,deepseek-chat,dopamine,,0,False,0,0,False,,1,0,1,2,2,295,3,298,faiss,,500,298,202,False,0,0,0,0,[],,,,,,0,,
printer,cognitive_synthesis,12283.357381820679,3072,5788.265200004389,success,,0,deepseek-chat,synthesis,cognitive_synthesis,3021,False,5,2,False,,1,0,1,2,2,295,3,298,faiss,,500,298,202,False,0,0,0,0,[],,,,,,0,,
printer,strategy,12184.672832489014,2758,7509.628400002839,success,,0,deepseek-chat,strategy,strategy,2959,True,4,2,False,,1,0,2,4,4,295,3,298,faiss,,500,298,202,False,0,0,0,0,[],,,,,,0,,
printer,storyboard,12083.038806915283,2997,5555.65559999377,success,,0,deepseek-chat,storyboard,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
printer,analytics_memory,0.0,0,0,success,,0,memory_engine,analytics_memory,analytics_memory,0,False,0,0,False,,2,0,2,4,4,296,3,299,faiss,,500,299,201,False,0,0,0,0,[],,,,,,0,,
women_bras,planner,4153.932571411133,804,3302.5018999978784,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
women_bras,retrieval_sources,0.640199999907054,0,0,success,,0,tool_runtime,retrieval_sources,retrieval_sources,0,False,0,0,False,,2,0,2,4,4,296,3,299,faiss,,500,299,201,False,0,0,0,0,[],LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True;True,False;False,;,0.6245000040507875,local_dataset;mock,0.75;0.35
women_bras,analysis_audience,5007.102727890015,956,0.0,success,,0,deepseek-chat,audience,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
women_bras,analysis_painpoint,6349.5001792907715,1190,0.0,success,,0,deepseek-chat,painpoint,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
women_bras,analysis_dopamine,2092.2348499298096,263,0.0,success,,0,deepseek-chat,dopamine,,0,False,0,0,False,,2,0,2,4,4,296,3,299,faiss,,500,299,201,False,0,0,0,0,[],,,,,,0,,
women_bras,cognitive_synthesis,13417.80972480774,2973,4324.417999996513,success,,0,deepseek-chat,synthesis,cognitive_synthesis,3079,False,5,2,False,,2,0,2,4,4,296,3,299,faiss,,500,299,201,False,0,0,0,0,[],,,,,,0,,
women_bras,strategy,15989.201307296753,3376,8675.671799996053,success,,0,deepseek-chat,strategy,strategy,2849,True,4,2,False,,2,0,3,6,6,296,3,299,faiss,,500,299,201,False,0,0,0,0,[],,,,,,0,,
women_bras,storyboard,15368.908405303955,3821,6715.986499999417,success,,0,deepseek-chat,storyboard,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
women_bras,analytics_memory,0.0,0,0,success,,0,memory_engine,analytics_memory,analytics_memory,0,False,0,0,False,,3,0,3,6,6,297,3,300,faiss,,500,300,200,False,0,0,0,0,[],,,,,,0,,
girls_overalls,planner,4083.531141281128,773,3188.072099997953,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
girls_overalls,retrieval_sources,0.45169999793870375,0,0,success,,0,tool_runtime,retrieval_sources,retrieval_sources,0,False,0,0,False,,3,0,3,6,6,297,3,300,faiss,,500,300,200,False,0,0,0,0,[],LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True;True,False;False,;,0.43930000538239256,local_dataset;mock,0.75;0.35
